,Name,Rank,Rating,Release_year,Episodes,Type,Studio,Tags,staff,Good_Anime
4495,Gokiburi-hime,14434.0,5.48,2015-01-01 00:00:00.000000,1.0,Web,unknown,"No Dialogue, Shorts, Original Work",Junichi Yamamoto : Director,0
4496,Gokicha!! Cockroach Girls,14559.0,5.42,2012-01-01 00:00:00.000000,2.0,Web,MooGoo,"Comedy, Seinen, Insects, Non-Human Protagonists, Short Episodes, Based on a 4-Koma Manga, Based on a Manga",Tamachi Rui : Original Creator,0
4497,Gokinjo Monogatari,2306.0,7.5,1995-01-01 00:00:00.000000,50.0,TV,Toei Animation,"Comedy, Drama, Romance, Shoujo, Fashion, Love Triangle, School Life, Based on a Manga","Ai Yazawa : Original Creator, Atsutoshi Umezawa : Director, Masahiro Kawasaki : Music, Yoshihiko Umakoshi : Character Design, Kanako Arai : Producer, Mamoru Hosoda : Key Animator",0
4498,Gokinjo Monogatari Movie,5442.0,6.96,1996-01-01 00:00:00.000000,0.0,Movie,Toei Animation,"Drama, Romance, Shoujo, Fashion, Love Triangle, Based on a Manga","Ai Yazawa : Original Creator, Junji Shimizu : Director, Masahiro Kawasaki : Music, Yoshihiko Umakoshi : Character Design",0
4499,Goku II: Midnight Eye,11454.0,6.26,1989-01-01 00:00:00.000000,1.0,OVA,MADHOUSE,"Action, Sci Fi, Seinen, Detectives, Based on a Manga, Nudity,, Sexual Content,, Violence","Buichi Terasawa : Original Creator, Yoshiaki Kawajiri : Director, Kazz Toyama : Music, Yukihido Takekawa : Music, Hiroshi Hamasaki : Character Design, Naoko Takahashi : Producer",0
4500,Goku Sayonara Zetsubou Sensei,1116.0,7.88,2008-01-01 00:00:00.000000,3.0,OVA,SHAFT,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Dark Comedy, Gag, Parody, Satire, Teaching, Based on a Manga, Mature Themes,, Suicide","Kouji Kumeta : Original Creator, Yukihiro Miyamoto : Chief Director & Ed Director & Storyboard, Akiyuki Simbo : Director & Series Composition, Naoyuki Tatsuwa : Assistant Director & Key Animator & Storyboard, Shaft : Series Composition, Tomoki Hasegawa : Music, Hideyuki Morioka : Character Design & Chief Animation Director, Rei Egami : Photography Director",0
4501,Goku no Daibouken,8787.0,6.6,1967-01-01 00:00:00.000000,39.0,TV,Mushi Production,"Comedy, Fantasy, Animal Protagonists, Anthropomorphic, Journey to the West, Non-Human Protagonists, Original Work","Osamu Tezuka : Original Creator, Gisaburou Sugii : Director, Seichiro Uno : Music, Shigeru Yamamoto : Character Design, Eiichi Kawabata : Producer",0
4502,Goku: Midnight Eye,10832.0,6.34,1989-01-01 00:00:00.000000,1.0,OVA,MADHOUSE,"Action, Sci Fi, Seinen, Detectives, Noir, Based on a Manga, Nudity,, Violence","Buichi Terasawa : Original Creator, Yoshiaki Kawajiri : Director, Kazz Toyama : Music, Yukihide Takekawa : Music, Hiroshi Hamasaki : Character Design, Naoko Takahashi : Producer, Tomiro Kuriyama : Producer",0
4503,Gokudo,2174.0,7.54,1999-01-01 00:00:00.000000,26.0,TV,Trans Arts,"Adventure, Comedy, Fantasy, Magic, Medieval, Based on a Light Novel","Kunihisa Sugishima : Director, Miho Shimogasa : Character Design, Gorou Taniguchi : Episode Director & Storyboard, Masahiro Hosoda : Storyboard, Kenichi Maejima : Storyboard, Masayuki Hiraoka : Animation Director, Yukio Takatsu : Animation Director",0
4504,Gokudou Sakaba Denden: Gokudou Daisensou Gaiden,5580.0,6.94,2015-01-01 00:00:00.000000,3.0,Web,DLE,"Comedy, Promotional",unknown,0
4505,Gokujo. Gokurakuin Joshikou Ryou Monogatari,13556.0,5.84,2012-01-01 00:00:00.000000,12.0,TV,LMD,"Comedy, Ecchi, GL, Seinen, Yuri, All-Girls School, Boarding School, Episodic, School Life, Short Episodes, Slapstick, Based on a Manga, Sexual Content","Maya Miyazaki : Original Creator, Futoshi Higashide : Director, Fumihide Sai : Character Design",0
4506,Gokujo. Gokurakuin Joshikou Ryou Monogatari: Souda Onsen ni Ikou!!,13113.0,5.96,2013-01-01 00:00:00.000000,0.0,DVD S,LMD,"Comedy, Ecchi, GL, Seinen, Yuri, Based on a Manga, Sexual Content",unknown,0
4507,Gokujou!! Mecha Mote Iinchou,14047.0,5.66,2009-01-01 00:00:00.000000,51.0,TV,Shogakukan Music & Digital Entertainment,"Comedy, Romance, Shoujo, School Life, Based on a Manga","Tomoko Nishimura : Original Creator, Harume Kosaka : Director, Junichi Igarashi : Music, Madoka Kattou : Character Design, Shouko Hagiwara : Character Design, Takahiro Suzuki : Producer",0
4508,Gokujou!! Mecha Mote Iinchou Second Collection,7558.0,6.72,2010-01-01 00:00:00.000000,51.0,TV,Shogakukan Music & Digital Entertainment,"Comedy, Romance, Shoujo, School Life, Based on a Manga",unknown,0
4509,Gokusen,2041.0,7.56,2004-01-01 00:00:00.000000,13.0,TV,MADHOUSE,"Comedy, Josei, All-Boys School, Delinquents, Gangs, Lifestyle Change, School Life, Teaching, Yakuza, Based on a Manga","Kozueko Morimoto : Original Creator, Yuuzou Satou : Director, Tomoki Hasegawa : Music, Yoshinori Kanemori : Character Design, Yuuko Kobari : Color Design, Masao Maruyama : Producer, Manabu Tamura : Producer, Hiroshi Yamashita : Producer",0
4510,Gokyoudai Monogatari,7209.0,6.76,2009-01-01 00:00:00.000000,32.0,TV,Shin-Ei Animation,"Comedy, Slice of Life, Siblings, Based on a Manga","Tetsuo Yasumi : Director, Masae Sagara : Music, Shuichi Seki : Character Design, Satoshi Kaishou : Producer, Takahiro Kishimoto : Producer, Yoshifumi Sugisawa : Producer",0
4511,Gold Lightan: Golden Warrior,5890.0,6.9,1981-01-01 00:00:00.000000,52.0,TV,Tatsunoko Production,"Action, Mecha, Sci Fi, Original Work","Kouichi Mashimo : Director, Masayuki Yamamoto : Music, Masayuki Jinbo : Music, Ippei Kuri : Character Design, Tomoyuki Miyata : Producer",0
4512,Golden Batman,12081.0,6.16,1979-01-01 00:00:00.000000,0.0,Movie,unknown,"Action, Family Friendly, Korean Animation, Superheroes",unknown,0
4513,Golden Boy,952.0,7.96,1995-01-01 00:00:00.000000,6.0,OVA,A.P.P.P.,"Comedy, Ecchi, Seinen, Episodic, Playboys, Work Life, Based on a Manga, Explicit Sex","Tatsuya Egawa : Original Creator, Hiroyuki Kitakubo : Director & Episode Director & Song Lyrics & Sound Director & Storyboard, Jouyou Katayanagi : Music, Toshihiro Kawamoto : Animation Director & Character Design & Chief Animation Director, Hideo Okazaki : Photography Director, Hiroshi Katou : Art Director, Tatsuya Kushida : Art Director, Yuuji Ikehata : Art Director",0
4514,Golden Douga Gekijou,7122.0,6.78,2018-01-01 00:00:00.000000,33.0,Web,W-Toon Studio,"Comedy, Short Episodes","Satoru Noda : Original Creator, Kenichirou Suehiro : Music",0
4515,Golden Douga Gekijou Specials,6817.0,6.8,2018-01-01 00:00:00.000000,0.0,DVD S,W-Toon Studio,Comedy,"Satoru Noda : Original Creator, Kenichirou Suehiro : Music",0
4516,Golden Kamuy,867.0,8.02,2018-01-01 00:00:00.000000,12.0,TV,Geno Studio,"Adventure, Drama, Historical, Military, Treasure Hunters, Based on a Manga, Violence","Satoru Noda : Original Creator, Hitoshi Nanba : Director, Kenichirou Suehiro : Music, Kenichi Oonuki : Character Design, Rie Ukai : Producer, Toshihiro Suzuki : Producer, Shunsuke Hasegawa : Producer, Naokado Fujiyama : Producer",0
4517,Golden Kamuy OVA,2543.0,7.44,2018-01-01 00:00:00.000000,1.0,OVA,Geno Studio,"Adventure, Drama, Historical, Based on a Manga, Violence",Satoru Noda : Original Creator,0
4518,Golden Kamuy Season 2,313.0,8.38,2018-01-01 00:00:00.000000,12.0,TV,Geno Studio,"Action, Adventure, Drama, Historical, Military, Treasure Hunters, Based on a Manga, Violence","Satoru Noda : Original Creator, Hitoshi Nanba : Director, Kenichirou Suehiro : Music, Kenichi Oonuki : Character Design, Satoshi Tanaka : Producer, Ryousuke Mori : Producer, Kazuaki Takahashi : Producer, Naokado Fujiyama : Producer",0
4519,Golden Kamuy Season 2 OVA,1810.0,7.64,2019-01-01 00:00:00.000000,3.0,OVA,Geno Studio,"Comedy, Seinen, Historical, Prison, Based on a Manga, Animal Abuse,, Mature Themes,, Sexual Content,, Violence",Satoru Noda : Original Creator,0
4520,Golden Kamuy Season 3,175.0,8.56,2020-01-01 00:00:00.000000,12.0,TV,Geno Studio,"Action, Adventure, Drama, Historical, Military, Based on a Manga, Violence","Satoru Noda : Original Creator, Hitoshi Nanba : Director, Kenichirou Suehiro : Music, Kenichi Oonuki : Character Design, Satoshi Tanaka : Producer, Ryousuke Mori : Producer, Kazuaki Takahashi : Producer, Naokado Fujiyama : Producer",0
4521,Golden Kids,11836.0,6.2,2011-01-01 00:00:00.000000,2.0,Web,unknown,"Shounen, Sports, Soccer","Takayuki Hamana : Director, Seikou Nagaoka : Music, Jouji Sawada : Character Design, Toshiaki Morita : Producer",0
4522,Golden Time,1096.0,7.9,2013-01-01 00:00:00.000000,24.0,TV,J.C.Staff,"Comedy, Drama, Romance, Adult Couples, Amnesia, Childhood Promise, College, Coming of Age, Love Triangle, Mature Romance, School Life, Based on a Light Novel","Chiaki Kon : Director, Yukari Hashimoto : Music, Shinya Hasegawa : Character Design, Ryuutarou Kawakami : Producer, Koutarou Sudou : Producer, Shigeru Nishiyama : Editor, Michio Fukuda : Storyboard, Shinichirou Kajiura : Animation Director",0
4523,Golden Time (2013),3965.0,7.16,2013-01-01 00:00:00.000000,0.0,Movie,unknown,"Adventure, Fantasy, No Dialogue, Shorts, Based on a Novel","Takuya Inaba : Director & Character Design, Haruna Karasuda : Music, Emi Matsumoto : Producer",0
4524,Goldfish Fetish,12279.0,6.14,2002-01-01 00:00:00.000000,0.0,Movie,unknown,Shorts,Keiichi Tanaami : Director,0
4525,Goldfish Warning!,7509.0,6.74,1991-01-01 00:00:00.000000,54.0,TV,Toei Animation,"Comedy, Shoujo, Countryside, Family Friendly, Pets, Based on a Manga","Neko Nekobe : Original Creator, Junichi Satou : Director, Takanori Arisawa : Music, Satoru Iriyoshi : Character Design, Iriya Azuma : Producer, Yoshifumi Hatano : Producer, Kenji Oota : Producer, Shigeru Nishiyama : Editor",0
4526,Goldfish Warning! Movie,7661.0,6.72,1992-01-01 00:00:00.000000,0.0,Movie,Toei Animation,"Comedy, Shoujo, Family Friendly, Pets, Based on a Manga","Neko Nekobe : Original Creator, Takanori Arisawa : Music, Shigeru Nishiyama : Editor",0
4527,Golgo 13,4171.0,7.12,2008-01-01 00:00:00.000000,50.0,TV,The Answer Studio,"Action, Seinen, Assassins, Criminals, Episodic, Guns, Noir, Based on a Manga, Explicit Sex,, Mature Themes,, Violence","Takao Saito : Original Creator, Shunji Ooga : Director, Daisuke Ikeda : Music, Kazuyoshi Takeuchi : Character Design, Kentarou Takahashi : Photography Director, Susumu Matsuyama : Producer",0
4528,Golgo 13: Queen Bee,10547.0,6.38,1998-01-01 00:00:00.000000,1.0,OVA,Tezuka Productions,"Action, Seinen, Assassins, Noir, Based on a Manga, Explicit Sex,, Mature Themes,, Violence","Takao Saito : Original Creator, Osamu Dezaki : Director & Storyboard, Fujimaru Yoshino : Music, Seiji Suzuki : Music, Akio Sugino : Character Design, Hiroshi Uchida : Character Design, Mataichirou Yamamoto : Producer, Hitoshi Yoshimura : Producer",0
4529,Golgo 13: The Professional,9223.0,6.54,1983-01-01 00:00:00.000000,0.0,Movie,TMS Entertainment,"Action, Seinen, Assassins, Guns, Noir, Based on a Manga, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide,, Violence","Takao Saito : Original Creator, Osamu Dezaki : Director, Shichirou Kobayashi : Art Director, Satomi Mikuriya : Cg Director, Yutaka Fujioka : Producer, Nobuo Inada : Producer",0
4530,Goman-hiki,9349.0,6.54,1962-01-01 00:00:00.000000,100.0,TV,unknown,"Black and White, Short Episodes",unknown,0
4533,Gon,13843.0,5.74,2012-01-01 00:00:00.000000,50.0,TV,Daewon Media,"Adventure, Comedy, Seinen, Animal Protagonists, Dinosaurs, Family Friendly, Non-Human Protagonists, Prehistoric, Based on a Manga, CG Animation",Masashi Tanaka : Original Creator,0
4534,Gon 2nd Season,11490.0,6.26,2015-01-01 00:00:00.000000,26.0,TV,Daewon Media,"Adventure, Comedy, Seinen, Animal Protagonists, Dinosaurs, Family Friendly, Non-Human Protagonists, Prehistoric, Based on a Manga, CG Animation",Masashi Tanaka : Original Creator,0
4535,"Gon, the Little Fox",5506.0,6.96,2019-01-01 00:00:00.000000,0.0,Movie,Tecarat,"Drama, Animal Protagonists, Non-Human Protagonists, Shorts, Stop Motion Animation, Based on a Novel",Takeshi Yashiro : Director,0
4536,Gondora,15290.0,4.26,1997-01-01 00:00:00.000000,0.0,Movie,Studio 4°C,Shorts,Katsuhiro Otomo : Director,0
4537,Gongitsune,7367.0,6.74,1985-01-01 00:00:00.000000,0.0,Movie,unknown,"Fantasy, Animal Protagonists, Non-Human Protagonists, Based on a Novel",Kousei Maeda : Director,0
4538,Gonna be the Twin-Tail!!,10240.0,6.42,2014-01-01 00:00:00.000000,12.0,TV,Production IMS,"Action, Comedy, Ecchi, Gender Bender, Parody, Superpowers, Based on a Light Novel","Hiroyuki Kanbe : Director, Yasuharu Takanashi : Music, Kazuaki Morita : Character Design, Masahiro Yamane : Character Design, Junya Okamoto : Producer, Atsushi Yoshikawa : Producer, Gou Tanaka : Producer, Shigeaki Arima : Producer",0
4539,Gonna be the Twin-Tail!! Tokubetsu-hen,7418.0,6.74,2015-01-01 00:00:00.000000,0.0,TV Sp,Production IMS,"Action, Comedy, Recap, Superpowers, Based on a Light Novel",unknown,0
4540,Good Luck Girl!,1227.0,7.84,2012-01-01 00:00:00.000000,13.0,TV,Sunrise,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Gods, Non-Human Protagonists, Parody, School Life, Supernatural, Based on a Manga","Yoshiaki Sukeno : Original Creator, Youichi Fujita : Director, Masashi Hamauzu : Music, Kenji Tanabe : Character Design, Tomoyuki Saitou : Producer, Yoshikazu Beniya : Producer, Masayoshi Morita : Producer, Mitsuhiro Yoneda : Episode Director",0
4541,Good Luck! Ninomiya-kun,5607.0,6.94,2007-01-01 00:00:00.000000,12.0,TV,AIC Spirits,"Comedy, Ecchi, Harem, Romance, Based on a Light Novel","Koji Yoshikawa : Director, Kouichirou Kameyama : Music, Haruo Oogawara : Character Design, Yoshikazu Iwanami : Sound Director, Tsuneo Takechi : Producer, Naoshi Imamoto : Producer, Tomoko Suzuki : Producer, Yuka Harada : Producer",0
4542,Good Morning Althea,13668.0,5.8,1987-01-01 00:00:00.000000,1.0,OVA,unknown,"Action, Sci Fi, Based on a Manga","Takehiko Ito : Original Creator, Ichirou Itano : Original Concept, Hideki Tonokatsu : Director & Storyboard, Yuuko Nakata : Screenplay & Series Composition, Nobuhiko Kashiwara : Music, Kia Asamiya : Character Design, Takashi Azuhata : Photography Director, Yukiko Iijima : Art Director",0
4543,Good Morning Call,12419.0,6.1,2001-01-01 00:00:00.000000,1.0,OVA,Trans Arts,"Drama, Romance, Shoujo, Cohabitation, School Life, Based on a Manga","Yue Takasuka : Original Creator, Takayuki Hamana : Episode Director & Storyboard",0
4544,Good Morning!!! Doronjo,5662.0,6.94,2015-01-01 00:00:00.000000,0.0,Other,unknown,"Comedy, Parody, Short Episodes, Flash Animation",unknown,0
4545,Good-by Marilyn,15261.0,4.4,1971-01-01 00:00:00.000000,0.0,Movie,unknown,"Abstract, Shorts, Nudity",Keiichi Tanaami : Director,0
4546,Good-bye Elvis and USA,15335.0,3.74,1971-01-01 00:00:00.000000,0.0,Movie,unknown,"Abstract, Shorts, Nudity",Keiichi Tanaami : Director,0
4547,"Good-bye, Cramer Mini Anime",8975.0,6.58,2021-01-01 00:00:00.000000,24.0,Web,unknown,"Comedy, Shounen, Sports, Chibi, Short Episodes",unknown,0
4548,Googuri Googuri,9926.0,6.46,2010-01-01 00:00:00.000000,0.0,Movie,unknown,"Fantasy, Abstract, Family Friendly, Shorts","Yoshiko Misumi : Producer & Director, Natsuko Yokoyama : Music",0
4549,Gori Papa Ikka no Nougyou wa Omoshiroi,6558.0,6.84,2017-01-01 00:00:00.000000,1.0,Web,unknown,"Slice of Life, Countryside, Family Friendly, Based on a Manga",Atsushi Jinbo : Original Creator,0
4550,Gorillaman,4109.0,7.14,1992-01-01 00:00:00.000000,2.0,OVA,J.C.Staff,"Comedy, Seinen, School Life, Based on a Manga","Harold Sakuishi : Original Creator, Osamu Sekita : Director, Mitsuharu Kajitani : Character Design",0
4551,Gosenzo-sama Banbanzai!,4094.0,7.14,1989-01-01 00:00:00.000000,6.0,OVA,Pierrot,"Sci Fi, Abstract, Time Travel, Original Work, Incest,, Mature Themes","Mamoru Oshii : Director & Original Creator, Kenji Kawai : Music, Satoru Utsunomiya : Character Design, Hiroshi Umezaki : Producer, Kouji Nanke : Op Director",0
4552,Gosho Aoyama's Collection of Short Stories,3299.0,7.28,1999-01-01 00:00:00.000000,7.0,OVA,TMS Entertainment,"Romance, Sci Fi, Shounen, Detectives, Based on a Manga","Gosho Aoyama : Original Creator, Osamu Nabeshima : Director, Hayato Matsuo : Music, Masatomo Sudou : Character Design, Masahito Yoshioka : Producer",0
4553,Gosick,668.0,8.14,2010-01-01 00:00:00.000000,24.0,TV,Bones,"Drama, Mystery, Romance, Boarding School, Detectives, Europe, Historical, Library, Based on a Light Novel, Violence","Hitoshi Nanba : Director, Kotaro Nakagawa : Music, Toshihiro Kawamoto : Character Design, Takashi Tomioka : Character Design, Yoshikazu Beniya : Producer, Junka Kobayashi : Producer, Koutarou Tamura : Op Director & Storyboard, Michio Fukuda : Storyboard",0
4554,Gosick Recap,5205.0,6.98,2011-01-01 00:00:00.000000,0.0,TV Sp,Bones,"Drama, Mystery, Romance, Boarding School, Detectives, Europe, Historical, Library, Recap, Based on a Light Novel, Violence",unknown,0
4556,Gothicmade: Hana no Utame,4495.0,7.08,2012-01-01 00:00:00.000000,0.0,Movie,Automatic Flowers Studio,"Mecha, Sci Fi","Mamoru Nagano : Director & Character Design, Ikuko Enomoto : Producer, Yasuhiro Nakura : Animation Director",0
4558,Gou-Q-Chouji Ikkiman,8207.0,6.66,1986-01-01 00:00:00.000000,32.0,TV,Toei Animation,"Sci Fi, Shounen, Sports, Aliens, Tournaments, Original Work","Nobutaka Nishizawa : Director, Seiji Yokoyama : Music, Takashi Saijo : Character Design",0
4559,Gou-chan. Moko to Chinjuu no Mori no Nakama-tachi,3844.0,7.18,2017-01-01 00:00:00.000000,0.0,TV Sp,Shin-Ei Animation,"Fantasy, Sci Fi, Slice of Life, Aliens, Animal Protagonists, Countryside, Family Friendly, Forest, Non-Human Protagonists",Tetsuo Yasumi : Director,0
4560,Goulart Knights: Evoked The Beginning Black,14350.0,5.52,2010-01-01 00:00:00.000000,1.0,OVA,Studio Blanc.,"Action, Comedy, Shoujo, Supernatural, Based on a Manga, Violence","Takumi Miyajima : Original Creator, Masahiro Sonoda : Director, Tatsuya Katou : Music, Hideki Furukawa : Character Design, Yoshiyuki Itou : Producer, Touko Machida : Screenplay",0
4561,Goulart Knights: Evoked The Beginning White,6348.0,6.86,2011-01-01 00:00:00.000000,1.0,OVA,Studio Blanc.,"Shoujo, Supernatural, Based on a Manga","Takumi Miyajima : Original Creator, Masahiro Sonoda : Director, Tatsuya Katou : Music, Hideki Furukawa : Character Design, Yoshiyuki Itou : Producer, Touko Machida : Screenplay",0
4562,Gourmet Girl Graffiti,9171.0,6.56,2015-01-01 00:00:00.000000,12.0,TV,SHAFT,"Comedy, Seinen, Slice of Life, Cooking, Food and Beverage, Iyashikei, Based on a 4-Koma Manga, Based on a Manga","Makoto Kawai : Original Creator, Akiyuki Simbo : Chief Director, Naoyuki Tatsuwa : Director, Kotringo : Music, Kazuya Shiotsuki : Animation Director & Character Design & Chief Animation Director & Key Animator, Takayuki Aizu : Photography Director, Takeshi Naitou : Art Director, Yasuko Watanabe : Color Design",0
4563,Gowapper 5 Godam,8596.0,6.62,1976-01-01 00:00:00.000000,36.0,TV,Tatsunoko Production,Sci Fi,"Hisayuki Toriumi : Director, Bob Sakuma : Music, Yoshitaka Amano : Character Design, Tatsuo Yoshida : Producer, Kan Fukumoto : Animation Director",0
4564,Gozonji! Gekkou Kamen-kun,4432.0,7.1,1999-01-01 00:00:00.000000,25.0,TV,Actas,"Action, Comedy, Sci Fi, Parody, Superheroes","Yoshio Takeuchi : Director, Takeshi Ike : Music, Shuuhei Tamura : Character Design, Tomoko Gushima : Producer, Yasumichi Ozaki : Producer, Yoshio Urasawa : Producer",0
4565,Graduation,12275.0,6.14,1995-01-01 00:00:00.000000,2.0,OVA,Studio Fantasia,"Slice of Life, Based on a Visual Novel","Katsuhiko Nishijima : Director, Kazuko Tadano : Character Design, Atsushi Sugita : Producer, Hiroki Kanno : Key Animator, Akira Takeuchi : Key Animator, Yuuji Yanase : Key Animator",0
4566,Graduation M,14772.0,5.26,1999-01-01 00:00:00.000000,2.0,OVA,Artland,"Comedy, Slice of Life, All-Boys School, Boarding School, Based on a Manga","Kei Arisugawa : Original Creator, Hajime Kamegaki : Director, E.M.U : Song Performance",0
4567,Granbelm,11425.0,6.26,2019-01-01 00:00:00.000000,13.0,TV,Nexus,"Action, Mecha, Sci Fi, Animeism, Original Work","Masaharu Watanabe : Director, Kenichirou Suehiro : Music, Kei Imanaka : Character Design, Hiroshi Kamei : Producer, Hirotaka Imagawa : Producer, Yoshinobu Tokumoto : Episode Director & Storyboard, Jimmy Stone : Chief Animation Director & Key Animator",0
4568,Granblue Fantasy The Animation,6798.0,6.82,2017-01-01 00:00:00.000000,13.0,TV,A-1 Pictures,"Action, Adventure, Fantasy, Island, Magic, Based on a Mobile Game","Yuuki Itou : Director, Nobuo Uematsu : Music, Toshifumi Akai : Character Design, Kazuko Nakashima : Color Design",0
4569,Granblue Fantasy The Animation Season 2,6115.0,6.88,2019-01-01 00:00:00.000000,12.0,TV,MAPPA,"Action, Adventure, Fantasy, Island, Magic, Based on a Mobile Game","Yui Umemoto : Director, Yasunori Nishiki : Music, Tsutomu Narita : Music, Fumihide Sai : Character Design, Makoto Kimura : Producer, Kenta Suzuki : Producer",0
4570,Granblue Fantasy The Animation Season 2 Special,8620.0,6.62,2020-01-01 00:00:00.000000,0.0,DVD S,MAPPA,"Action, Adventure, Fantasy, Island, Magic, Based on a Mobile Game",unknown,0
4571,Granblue Fantasy The Animation Season 2: Another Journey,7072.0,6.78,2020-01-01 00:00:00.000000,0.0,TV Sp,MAPPA,"Action, Adventure, Fantasy, Island, Magic, Based on a Mobile Game",unknown,0
4572,Granblue Fantasy The Animation: Jack O'Lantern,7893.0,6.7,2017-01-01 00:00:00.000000,0.0,DVD S,A-1 Pictures,"Action, Fantasy, Based on a Mobile Game",unknown,0
4574,Grand Blue,326.0,8.43,2018-01-01 00:00:00.000000,12.0,TV,Zero-G,"Comedy, Ecchi, Romance, Seinen, College, Gag, Mature Romance, Ocean, Scuba Diving, Slapstick, Based on a Manga","Kenji Inoue : Original Creator, Shinji Takamatsu : Director, Manual Of Errors : Music, Hideoki Kusama : Character Design, Toshihiro Maeda : Producer, Makoto Furukawa : Producer, Ryouhei Suzuki : Producer, Kazuaki Takahashi : Producer",0
4575,Grand Blues!,14464.0,5.46,2020-01-01 00:00:00.000000,12.0,TV,DMM.futureworks,"Adventure, Comedy, Fantasy, Chibi, Gag, Island, Short Episodes, Based on a 4-Koma Manga, Based on a Manga","Kenshirou Morii : Director, Tsutomu Narita : Music, Soushi Kinutani : Character Design",0
4576,Grandeek,13690.0,5.78,2000-01-01 00:00:00.000000,1.0,OVA,Group TAC,"Action, Adventure, Fantasy, Seinen, Magic, Swordplay, Based on a Manga","Kohime Ohse : Original Creator, Sou Toyama : Director, Taku Iwasaki : Music",0
4577,Grander Musashi,6787.0,6.82,1997-01-01 00:00:00.000000,25.0,TV,Nippon Animation,"Adventure, Shounen, Sports, Fishing, Based on a Manga","Takayoshi Suzuki : Director, Gorou Oumi : Music, Masahiro Kase : Character Design, Shigeo Endo : Producer",0
4578,Grander Musashi RV,5641.0,6.94,1998-01-01 00:00:00.000000,39.0,TV,Nippon Animation,"Adventure, Shounen, Sports, Fishing, Based on a Manga",Takayoshi Suzuki : Director,0
4579,Grandma and Her Ghosts,7546.0,6.74,1998-01-01 00:00:00.000000,0.0,Movie,unknown,"Adventure, Fantasy",unknown,0
4580,Graphillion: Kazoeage Oneesan wo Sukue,11798.0,6.22,2013-01-01 00:00:00.000000,1.0,Web,unknown,"Educational, Family Friendly, Robots",unknown,0
4581,Grappler Baki: The Ultimate Fighter,6197.0,6.88,1994-01-01 00:00:00.000000,1.0,OVA,Knack,"Hand to Hand Combat, Martial Arts, Based on a Manga","Keisuke Itagaki : Original Creator, Yuuji Asada : Director, Takahiro Saitou : Music, Yoshihiko Umakoshi : Character Design, Chiaki Yasuda : Producer, Tsuneo Seto : Producer, Yoshiaki Itou : Key Animator",0
4582,Grave of the Fireflies,243.0,8.46,1988-01-01 00:00:00.000000,0.0,Movie,Studio Ghibli,"Drama, Autobiographies, Death of a Loved One, Historical, Lifestyle Change, Melancholy, Orphans, Poverty, Siblings, War, World War 2","Isao Takahata : Director, Michio Mamiya : Music, Masahiko Satoh : Music, Yoshifumi Kondou : Character Design, Tooru Hara : Producer, Hideaki Anno : Key Animator, Yoshiji Kigami : Key Animator, Yasuomi Umetsu : Key Animator",0
4583,Gravion,12136.0,6.16,2002-01-01 00:00:00.000000,13.0,TV,GONZO,"Action, Comedy, Mecha, Sci Fi, Original Work","Masami Obari : Director & Episode Director & Mechanical Design & Original Creator & Storyboard, Masumi Itou : Music, Makoto Uno : Character Design, Junichi Takaoka : Character Design, Yousuke Kabashima : Mechanical Design, Shouji Murahama : Producer, Oshi Yoshinuma : Producer, Sadakazu Kikuchi : Producer",0
4584,Gravion Zwei,9597.0,6.5,2004-01-01 00:00:00.000000,12.0,TV,GONZO,"Comedy, Mecha, Sci Fi, Original Work","Masami Obari : Director, Masumi Itou : Music, Makoto Uno : Character Design, Mikan Ehime : Character Design, Shouji Murahama : Producer, Ei Aoki : Storyboard, Shingo Suzuki : Storyboard",0
4585,Gravitation,4826.0,7.04,2000-01-01 00:00:00.000000,13.0,TV,Studio DEEN,"BL, Romance, Shoujo, Shounen-ai, Adult Couples, Cohabitation, LGBT Themes, Mature Romance, Music, Opposites Attract, Rock Music, Showbiz, Writers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content","Maki Murakami : Original Creator, Bob Shirohata : Director & Episode Director & Storyboard, Michiko Yokote : Screenplay & Series Composition, Takashi Kodama : Music, Miho Shimogasa : Character Design, Nobuto Sakamoto : Art Director, Shinji Matsumoto : Color Design, Masahiro Chiku : Producer",0
4586,Gravitation: Lyrics of Love,5479.0,6.96,1999-01-01 00:00:00.000000,2.0,OVA,Plum,"BL, Romance, Shoujo, Shounen-ai, Adult Couples, Mature Romance, Music, Opposites Attract, Rock Music, Showbiz, Writers, Based on a Manga","Maki Murakami : Original Creator, Shinichi Watanabe : Director & Storyboard, Hiroya Iijima : Animation Director & Character Design & Chief Animation Director, Eiichi Okita : Photography Director, Shinji Katahira : Art Director, Chie Tanimoto : Color Design, Koji Yoritsune : Producer, Koichi Kikuchi : Producer",0
4587,Gravity Rush The Animation: Overture,12686.0,6.06,2016-01-01 00:00:00.000000,1.0,Web,Khara,"Action, Adventure, Fantasy, Sci Fi, Shorts, Superpowers, Based on a Video Game, CG Animation","Hiroyasu Kobayashi : Director, Kouhei Tanaka : Music, Yumi Ikeda : Character Design",0
